service_id,date,exception_type
"538_100952","20200418","1"
"538_100952","20200420","1"
"538_100952","20200421","1"
"538_100952","20200422","1"
"538_100952","20200423","1"
"538_100952","20200427","1"
"538_100952","20200428","1"
"538_100952","20200429","1"
"538_100952","20200430","1"
"538_100952","20200502","1"
"538_100952","20200504","1"
"538_100952","20200505","1"
"538_100952","20200506","1"
"538_100952","20200507","1"
"538_100952","20200509","1"
"538_100952","20200511","1"
"538_100952","20200512","1"
"538_100952","20200513","1"
"538_100952","20200514","1"
"538_100952","20200516","1"
"538_100952","20200518","1"
"538_100952","20200519","1"
"538_100952","20200520","1"
"538_100952","20200521","1"
"538_100952","20200523","1"
"538_100952","20200525","1"
"538_100952","20200526","1"
"538_100952","20200527","1"
"538_100952","20200528","1"
"538_100952","20200530","1"
"538_100952","20200601","1"
"538_100952","20200603","1"
"538_100952","20200604","1"
"538_100952","20200606","1"
"538_100962","20191002","1"
"538_100962","20191005","1"
"538_100962","20191009","1"
"538_100962","20191012","1"
"538_100962","20191016","1"
"538_100962","20191019","1"
"538_100962","20191023","1"
"538_100962","20191026","1"
"538_100962","20191030","1"
"538_100962","20191102","1"
"538_100962","20191106","1"
"538_100962","20191109","1"
"538_100962","20191113","1"
"538_100962","20191116","1"
"538_100962","20191120","1"
"538_100962","20191123","1"
"538_100962","20191127","1"
"538_100962","20191130","1"
"538_100962","20191204","1"
"538_100962","20191207","1"
"538_100962","20191211","1"
"538_100962","20191214","1"
"538_100962","20191218","1"
"538_100962","20191221","1"
"538_100962","20191228","1"
"538_100962","20200104","1"
"538_100962","20200108","1"
"538_100962","20200111","1"
"538_100962","20200115","1"
"538_100962","20200118","1"
"538_100962","20200122","1"
"538_100962","20200125","1"
"538_100962","20200129","1"
"538_100962","20200201","1"
"538_100962","20200205","1"
"538_100962","20200208","1"
"538_100962","20200212","1"
"538_100962","20200215","1"
"538_100962","20200219","1"
"538_100962","20200222","1"
"538_100962","20200226","1"
"538_100962","20200229","1"
"538_100962","20200304","1"
"538_100962","20200307","1"
"538_100962","20200311","1"
"538_100962","20200314","1"
"538_100962","20200318","1"
"538_100962","20200321","1"
"538_100962","20200325","1"
"538_100962","20200328","1"
"538_100962","20200401","1"
"538_100962","20200404","1"
