service_id,date,exception_type
"171_100209","20200420","1"
"171_100209","20200421","1"
"171_100209","20200422","1"
"171_100209","20200423","1"
"171_100209","20200427","1"
"171_100209","20200428","1"
"171_100209","20200429","1"
"171_100209","20200430","1"
"171_100209","20200502","1"
"171_100209","20200504","1"
"171_100209","20200505","1"
"171_100209","20200506","1"
"171_100209","20200507","1"
"171_100209","20200509","1"
"171_100209","20200511","1"
"171_100209","20200512","1"
"171_100209","20200513","1"
"171_100209","20200514","1"
"171_100209","20200516","1"
"171_100209","20200518","1"
"171_100209","20200519","1"
"171_100209","20200520","1"
"171_100209","20200521","1"
"171_100209","20200523","1"
"171_100209","20200525","1"
"171_100209","20200526","1"
"171_100209","20200527","1"
"171_100209","20200528","1"
"171_100209","20200530","1"
"171_100209","20200601","1"
"171_100209","20200603","1"
"171_100209","20200604","1"
"171_100209","20200606","1"
"171_100210","20191130","1"
"171_100210","20191207","1"
"171_100210","20191214","1"
"171_100210","20191221","1"
"171_100210","20191224","1"
"171_100210","20191227","1"
"171_100210","20191228","1"
"171_100210","20191230","1"
"171_100210","20191231","1"
"171_100210","20200102","1"
"171_100210","20200103","1"
"171_100210","20200104","1"
"171_100210","20200111","1"
"171_100210","20200118","1"
"171_100210","20200125","1"
"171_100210","20200201","1"
"171_100210","20200208","1"
"171_100210","20200215","1"
"171_100210","20200222","1"
"171_100210","20200229","1"
"171_100210","20200307","1"
"171_100210","20200314","1"
"171_100210","20200321","1"
"171_100210","20200328","1"
"171_100210","20200404","1"
"171_100210","20200409","1"
"171_100210","20200410","1"
"171_100210","20200411","1"
"171_100210","20200414","1"
"171_100210","20200418","1"
"171_100210","20200502","1"
"171_100210","20200509","1"
"171_100210","20200516","1"
"171_100210","20200523","1"
"171_100210","20200530","1"
"171_100210","20200606","1"
"171_100211","20191129","1"
"171_100211","20191130","1"
"171_100211","20191206","1"
"171_100211","20191207","1"
"171_100211","20191213","1"
"171_100211","20191214","1"
"171_100211","20191220","1"
